2025/02/03 13:23:04 | 400 | 2.0827ms | 127.0.0.1 | GET | /api/users/manager | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:04 | 200 | 3.0661ms | 127.0.0.1 | GET | /api/store | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:05 | 200 | 3.2286ms | 127.0.0.1 | GET | /api/distributor | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:06 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/user/logout | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:06 | 200 | 5.8548ms | 127.0.0.1 | POST | /api/user/logout | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:07 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:12 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/user/login | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:13 | 200 | 382.1711ms | 127.0.0.1 | POST | /api/user/login | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:13 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/checkToken | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:13 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:13 | 200 | 2.3499ms | 127.0.0.1 | GET | /api/checkToken | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:13 | 200 | 2.5993ms | 127.0.0.1 | GET | /api/user | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:15 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/users/manager | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:15 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/store | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:15 | 200 | 3.355ms | 127.0.0.1 | GET | /api/users/manager | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:15 | 200 | 3.0842ms | 127.0.0.1 | GET | /api/store | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:18 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/store/sQ5k0c37vldCg8d | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:23:18 | 200 | 3.1017ms | 127.0.0.1 | GET | /api/store/sQ5k0c37vldCg8d | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:24:46 | 200 | 0s | 127.0.0.1 | OPTIONS | /api/distributor | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
2025/02/03 13:24:46 | 200 | 3.2325ms | 127.0.0.1 | GET | /api/distributor | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Safari/537.36 |
